"model_name","seed","training_status","training_dataset","num_training_samples","generation_strategy","prompt_type","explanation_type","response_type","response_format","evaluation_dataset","label_accuracy","misclassification_rate","combined_accuracy","malformed_label","malformed_domain","total_predictions","correct_predictions","conditional_accuracy","wrong_predictions","correct_label_and_domain","Constitutional_Law_accuracy","Contracts_accuracy","Criminal_Law_accuracy","Evidence_accuracy","Real_Property_accuracy","Torts_accuracy","Civil_Procedure_accuracy","correct_domain_wrong_label","correct_label_wrong_domain","both_wrong"
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","structured","answer_first","number_list","test_set_1",0.51,0.49,0.4,0,18,99,50,0.5,50,40,0.43,0.43,0.62,0.33,0.5,0.38,0.19,41,10,8
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","structured","answer_first","number_list","test_set_1",0.43,0.57,0.32,2,24,99,43,0.44,55,32,0.36,0.36,0.31,0.27,0.43,0.46,0.13,43,11,13
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","unstructured","answer_first","number_list","test_set_1",0.47,0.53,0.4,0,14,99,47,0.47,53,40,0.43,0.29,0.62,0.33,0.57,0.31,0.31,45,7,7
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","structured","answer_first","number_list","test_set_1",0.36,0.64,0.27,0,25,99,36,0.36,64,27,0.07,0.21,0.54,0.27,0.5,0.31,0.06,47,9,16
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","unstructured","answer_first","number_list","test_set_1",0.23,0.77,0.2,42,52,99,23,0.4,35,20,0.36,0.21,0.31,0.13,0.14,0.23,0.06,27,3,49
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","structured","fact_first","number_list","test_set_1",0.51,0.49,0.27,0,46,99,50,0.5,50,27,0.14,0.43,0.46,0.2,0.21,0.46,0.06,26,23,23
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","structured","fact_first","number_list","test_set_1",0.56,0.44,0.42,0,28,99,55,0.55,45,42,0.64,0.29,0.85,0.33,0.36,0.46,0.13,29,13,15
"llama2","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","unstructured","answer_first","number_list","test_set_1",0.3,0.7,0.21,21,47,99,30,0.38,49,21,0.21,0.36,0.31,0.07,0.43,0.15,0,31,9,38
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","few_shot","unstructured","fact_first","number_list","test_set_1",0.51,0.49,0.45,10,14,99,50,0.56,40,45,0.43,0.43,0.62,0.47,0.43,0.46,0.38,40,5,9
"llama3","seed_206","trained","all_domains_1_samples",1,"greedy","zero_shot","unstructured","fact_first","number_list","test_set_1",0.26,0.74,0.16,39,62,99,26,0.43,35,16,0.21,0.14,0.08,0.27,0.21,0.08,0.13,21,10,52
"llama3","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","structured","answer_first","number_list","test_set_1",0.48,0.52,0.31,0,35,99,48,0.48,52,31,0.29,0.29,0.38,0.33,0.5,0.31,0.13,33,17,18
"llama3","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","unstructured","answer_first","number_list","test_set_1",0.49,0.51,0.38,0,25,99,49,0.49,51,38,0.36,0.21,0.62,0.4,0.5,0.23,0.38,36,11,14
